ID,TEMP,HUM_AIRE,HUM_SUELO_1,HUM_SUELO_2,LUZ,GAS,RIEGO_1,RIEGO_2
1,,,287,0,229,104,0,0
2,,,287,0,229,103,0,0
3,,,285,0,229,105,0,0
4,,,284,0,228,103,0,0
5,,,284,0,228,103,0,0
6,,,285,0,228,103,0,0
7,,,286,0,228,102,0,0
8,,,288,0,228,102,0,0
9,,,286,0,228,102,0,0
10,,,285,0,228,102,0,0
11,,,284,0,228,102,0,0
12,,,285,0,229,103,0,0
13,,,282,0,226,100,0,0
14,,,282,0,226,100,0,0
15,,,283,0,226,100,0,0
16,,,284,0,226,100,0,0
17,,,285,0,226,100,0,0
18,,,283,0,226,103,0,0
19,,,282,0,227,100,0,0
20,,,282,0,226,100,0,0
21,,,282,0,226,100,0,0
22,,,284,0,226,99,0,0
23,,,291,0,226,101,0,0
24,,,296,0,225,101,0,0
25,,,293,0,225,98,0,0
26,,,291,0,225,99,0,0
27,,,314,0,225,99,0,0
28,,,295,0,227,100,0,0
29,,,286,0,225,98,0,0
30,,,288,0,225,99,0,0
