ID,TEMP,HUM_AIRE,HUM_SUELO_1,HUM_SUELO_2,LUZ,GAS,RIEGO_1,RIEGO_2
1,,,1010,0,224,109,1,0
2,,,1008,0,224,109,1,0
3,,,1008,0,224,107,1,0
4,,,1008,0,224,108,1,0
5,,,1007,0,225,121,1,0
6,,,1007,0,227,121,1,0
7,,,1008,0,226,119,1,0
8,,,1009,0,227,119,1,0
9,,,1008,0,230,121,1,0
10,,,1008,0,226,107,1,0
11,,,1007,0,226,107,1,0
12,,,1008,0,225,107,1,0
13,,,1008,0,225,107,1,0
14,,,1008,0,226,107,1,0
15,,,1007,0,227,117,1,0
16,,,1008,0,227,120,1,0
17,,,1007,0,228,118,1,0
18,,,1008,0,226,120,1,0
19,,,1009,0,226,120,1,0
20,,,1008,0,224,12,1,0
21,,,1009,0,224,12,1,0
22,,,1009,0,225,11,1,0
23,,,1008,0,225,11,1,0
24,,,1008,0,224,10,1,0
25,,,1007,0,225,22,1,0
26,,,1007,0,224,23,1,0
27,,,1006,0,225,22,1,0
28,,,1007,0,225,22,1,0
29,,,1008,0,225,22,1,0
30,,,1009,0,225,23,1,0
