TEMP,HUM_AIRE,SOIL1,SOIL2,LUZ,GAS
240,193,205,257,189,134
315,153,35,428,292,117
225,220,225,354,373,306
488,25,211,140,344,252
85,180,66,470,466,333
18,289,143,107,451,412
465,193,111,62,59,107
485,370,390,158,269,86
121,426,151,206,88,132
204,285,248,282,440,145
481,359,402,136,491,443
473,23,241,437,488,189
13,195,449,344,268,282
158,348,338,149,295,367
299,202,101,385,110,314
153,321,112,90,58,122
98,102,194,157,361,51
139,445,428,281,318,456
70,209,206,188,322,78
159,466,396,272,118,255
299,215,414,349,489,118
226,212,448,392,389,180
450,55,150,53,437,58
189,218,83,415,265,311
329,174,276,437,172,387
283,120,102,377,109,474
137,46,16,376,16,168
323,54,289,163,348,342
180,422,83,126,151,113
111,483,436,130,333,345
